Test_Date	County	Total_Number_of_Tests_Performed		
8/20/2023	Southern Tier	154		
8/20/2023	St. Lawrence	35		
8/20/2023	Steuben	105		
8/20/2023	Suffolk	447		
8/20/2023	Sullivan	15		
8/20/2023	Tioga	2		
8/20/2023	Tompkins	5		
8/20/2023	Ulster	45		
8/20/2023	Warren	11		
8/20/2023	Washington	7		
8/20/2023	Wayne	15		
8/20/2023	Westchester	394		
8/20/2023	Western New York	60		
8/20/2023	Wyoming	4		
8/20/2023	Yates	2		
8/19/2023	Albany	68		
8/19/2023	Allegany	1		
8/19/2023	Bronx	809		
8/19/2023	Broome	27		
8/19/2023	Capital Region	224		
8/19/2023	Cattaraugus	10		
8/19/2023	Cayuga	11		
8/19/2023	Central New York	310		
8/19/2023	Chautauqua	17		
8/19/2023	Chemung	32		
8/19/2023	Chenango	6		
8/19/2023	Clinton	29		
8/19/2023	Columbia	4		
8/19/2023	Cortland	16		
8/19/2023	Delaware	7		
8/19/2023	Dutchess	101		
8/19/2023	Erie	58		
8/19/2023	Essex	15		
8/19/2023	Finger Lakes	290		
8/19/2023	Franklin	19		
8/19/2023	Fulton	14		
8/19/2023	Genesee	10		
8/19/2023	Greene	9		
8/19/2023	Hamilton	0		
8/19/2023	Herkimer	3		
8/19/2023	Jefferson	45		
8/19/2023	Kings	1152		
8/19/2023	Lewis	6		
8/19/2023	Livingston	3		
8/19/2023	Long Island	1203		
8/19/2023	Madison	12		
8/19/2023	Mid-Hudson	1099		
8/19/2023	Mohawk Valley	88		
8/19/2023	Monroe	193		
8/19/2023	Montgomery	9		
8/19/2023	Nassau	634		
8/19/2023	New York	727		
8/19/2023	New York City	4400		
8/19/2023	Niagara	19		
8/19/2023	North Country	167		
8/19/2023	Oneida	54		
8/19/2023	Onondaga	208		
8/19/2023	Ontario	24		
8/19/2023	Orange	238		
8/19/2023	Orleans	6		
8/19/2023	Oswego	63		
8/19/2023	Otsego	2		
8/19/2023	Putnam	46		
8/19/2023	Queens	1512		
8/19/2023	Rensselaer	22		
8/19/2023	Richmond	200		
8/19/2023	Rockland	133		
8/19/2023	STATEWIDE	8006		
8/19/2023	Saratoga	69		
8/19/2023	Schenectady	17		
8/19/2023	Schoharie	6		
8/19/2023	Schuyler	6		
8/19/2023	Seneca	21		
8/19/2023	Southern Tier	120		
8/19/2023	St. Lawrence	53		
8/19/2023	Steuben	23		
8/19/2023	Suffolk	569		
8/19/2023	Sullivan	38		
8/19/2023	Tioga	6		
8/19/2023	Tompkins	13		
8/19/2023	Ulster	67		
8/19/2023	Warren	27		
8/19/2023	Washington	8		
8/19/2023	Wayne	26		
8/19/2023	Westchester	476		
8/19/2023	Western New York	105		
8/19/2023	Wyoming	5		
8/19/2023	Yates	2		
8/18/2023	Albany	99		
8/18/2023	Allegany	2		
8/18/2023	Bronx	854		
8/18/2023	Broome	23		
8/18/2023	Capital Region	320		
8/18/2023	Cattaraugus	6		
8/18/2023	Cayuga	16		
8/18/2023	Central New York	363		
8/18/2023	Chautauqua	12		
8/18/2023	Chemung	46		
8/18/2023	Chenango	57		
8/18/2023	Clinton	31		
8/18/2023	Columbia	14		
8/18/2023	Cortland	8		
8/18/2023	Delaware	22		
8/18/2023	Dutchess	91		
8/18/2023	Erie	107		
8/18/2023	Essex	19		
8/18/2023	Finger Lakes	299		
8/18/2023	Franklin	24		
8/18/2023	Fulton	19		
8/18/2023	Genesee	12		
8/18/2023	Greene	7		
